,Actual,Predicted
294,[4.   0.8  2.17],[1.926078   0.95273435 1.6748197 ]
295,[0.8  4.   0.17],[0.4850645 3.610084  1.4421952]
296,[0.8  4.   0.57],[0.5332973 3.3903162 1.4423165]
297,[0.8  0.8  0.57],[0.92636466 0.76013374 1.4587207 ]
298,[1.6  3.2  0.57],[2.080813  3.4757671 1.0914764]
299,[0.8  0.8  0.17],[0.8342283 0.6793456 1.1411157]
300,[1.6  2.4  1.57],[2.090981  2.8893406 1.2485268]
301,[3.2  1.6  1.77],[2.2459676 3.0558405 1.1855102]
302,[3.2  2.4  0.57],[2.4435964 2.436821  1.302926 ]
303,[4.   1.6  0.57],[3.3433256 0.5975592 1.5669827]
304,[3.2  4.   0.17],[3.62864   6.044032  0.3788197]
305,[2.4  3.2  1.17],[2.1472278  3.089855   0.77752423]
306,[3.2  1.6  0.37],[2.4617748 1.7445015 1.5290791]
307,[2.4  0.8  1.77],[2.6261082 1.8483946 1.2574035]
308,[0.8  2.4  0.17],[2.3861756 2.9222698 1.0248091]
309,[4.   0.8  0.97],[3.5606744 0.        1.5274944]
310,[2.4  1.6  1.57],[2.3321748 2.216461  1.344468 ]
311,[4.   4.   1.37],[3.8867328  4.9783764  0.74428177]
312,[1.6  0.8  2.17],[1.3540154 0.8747611 2.05089  ]
313,[0.8  0.8  1.77],[1.0229621  0.84433913 1.7897532 ]
314,[3.2  3.2  0.57],[3.349087  4.2268085 0.6002814]
315,[0.8  1.6  0.17],[0.7541163 3.0622787 1.0701197]
316,[0.8  3.2  1.97],[1.9790401 1.4000665 1.7764764]
317,[1.6  4.   1.37],[2.3064976 4.5726175 1.081212 ]
318,[1.6  0.8  0.17],[2.4692054 1.6005831 0.4192344]
319,[0.8  3.2  1.57],[0.7879722 2.2397258 1.9294089]
320,[4.   1.6  1.77],[2.8395038  0.89441574 1.6441579 ]
321,[1.6  3.2  0.37],[2.1549745 3.2802272 1.11833  ]
322,[4.   2.4  1.17],[2.6825373 2.0278563 1.050475 ]
